Time (s),Channel 1 (V),Channel 2 (V)
0.0031,0.0098,4.9804
0.0041,0.0098,4.9804
0.0051,4.9804,0.0049
0.0086,4.9853,0.0049
0.0086,4.9707,0.0098
0.0106,0.0098,4.9804
0.0116,0.0098,4.9804
0.0116,4.9853,0.0049
0.0126,4.9804,0.0049
0.0126,4.9756,0.0049
0.0136,4.9707,0.0098
0.0136,0.0098,4.9804
0.0136,4.9853,0.0049
0.0146,4.9853,0.0049
0.0216,4.9804,0.0098
0.0216,4.9804,0.0049
0.0216,0.0098,4.9804
0.0228,0.0098,0.0049
0.0228,4.9853,0.0049
0.0228,4.9853,0.0049
0.0239,4.9853,0.0049
0.0239,0.0098,4.9804
0.0249,0.0098,0.0049
0.0249,4.9853,0.0049
0.0249,4.9804,0.0049
0.0259,4.9804,0.0098
0.0259,0.0098,4.9804
0.0259,0.0098,4.9804
0.0259,4.9853,0.0049
0.0272,4.9804,0.0049
0.0272,4.9804,0.0098
0.0282,0.0098,4.9804
0.0282,0.0098,4.9804
0.0292,4.9804,0.0049
0.0292,4.9853,0.0049
0.0292,4.9756,0.0098
0.0292,0.0098,4.9804
0.0292,0.0098,4.9804
0.0304,4.9804,0.0049
0.0304,4.9804,0.0049
0.0304,4.9658,0.0098
0.0314,0.0098,4.9756
0.0314,0.0098,4.9804
0.0324,4.9804,0.0049
0.0324,4.9853,0.0049
0.0334,0.0293,0.0098
0.0334,0.0098,4.9804
0.0344,0.0098,4.9804
0.0354,4.9804,0.0049
0.0364,4.9853,0.0049
0.0364,0.0293,0.0098
0.0364,0.0098,4.9804
0.0364,0.0098,4.9804
0.0376,4.9853,0.0049
0.0386,4.9853,0.0049
0.0386,0.0196,0.0147
0.0386,4.9609,0.0147
0.0396,0.0098,4.9804
0.0396,4.9804,0.0049
0.0396,4.9853,0.0049
0.0409,0.0196,0.0098
0.0409,4.9707,0.0098
0.0409,0.0098,4.9804
0.042,0.0098,0.0049
0.042,4.9853,0.0049
0.042,0.0244,0.0098
0.043,0.0293,0.0147
0.043,0.0098,4.9804
0.043,0.0098,0.0196
0.043,4.9853,0.0049
0.044,0.0244,0.0049
0.044,0.0196,0.0147
0.044,0.0098,4.9804
0.044,0.0098,4.9707
0.045,4.9804,0.0049
0.045,4.9658,0.0049
0.045,0.0196,0.0098
0.045,0.0098,4.9804
0.046,0.0098,4.9804
0.047,4.9853,0.0049
0.047,4.9756,0.0049
0.047,0.0196,0.0147
0.047,0.0098,4.9804
0.0485,0.0098,4.9804
0.0485,4.9853,0.0049
0.0495,4.9804,0.0049
0.0495,0.0244,0.0098
0.0505,0.0098,4.9804
0.0505,0.0098,4.9804
0.0505,4.9804,0.0049
0.0515,4.9853,0.0049
0.0515,0.0,0.0098
0.0515,0.0098,4.9804
0.0525,0.0098,4.9804
0.0525,4.9804,0.0049
0.0535,4.9853,0.0049
0.0545,4.9658,0.0098
0.0545,4.9756,0.0098
0.0555,0.0098,4.9804
0.0555,4.9804,0.0049
0.0555,4.9804,0.0049
0.0555,4.9658,0.0049
0.0567,4.9804,0.0049
0.0577,0.0098,4.9804
0.0587,0.0098,0.0049
0.0587,4.9804,0.0049
0.0597,4.9756,0.0049
0.0597,4.9756,0.0098
0.0597,0.0098,4.9804
0.0597,0.0098,3.9932
0.0608,4.9853,0.0049
0.0608,4.9804,0.0049
0.0608,4.9707,0.0098
0.0608,0.0098,4.9756
0.0608,0.0098,4.9804
0.0619,4.9853,0.0049
0.0619,4.9804,0.0049
0.0629,0.0342,0.0098
0.0629,0.0098,4.9804
0.0629,0.0098,4.9804
0.0639,4.9804,0.0049
0.0639,4.9804,0.0049
0.0659,0.0244,0.0098
0.0659,0.0098,4.9804
0.0699,0.0098,4.9804
0.0709,4.9804,0.0049
0.0709,4.9804,0.0049
0.0719,0.044,0.0049
0.0719,0.0098,4.9804
0.0719,0.0098,4.9804
0.0729,4.9804,0.0049
0.0729,4.9804,0.0098
0.0729,0.0147,0.0098
0.0729,0.0098,4.9804
0.0739,0.0098,4.9804
0.0759,4.9804,0.0049
0.0759,4.9804,0.0049
0.0769,0.0098,0.0147
0.0769,0.0098,4.9707
0.0769,0.0098,4.9804
0.0769,4.9804,0.0049
0.078,4.9853,0.0049
0.078,0.0098,0.0147
0.078,0.0147,0.0147
0.078,0.0098,4.9756
0.079,4.9804,0.0049
0.079,4.9804,0.0049
0.079,0.0098,0.0196
0.079,0.0098,0.0196
0.079,0.0098,4.9756
0.0801,0.0098,4.9658
0.0801,4.9853,0.0049
0.0821,0.0098,0.0147
0.0831,0.0098,0.0196
0.0851,0.0098,4.9804
0.0851,0.0098,4.9804
0.0851,4.9804,0.0049
0.0861,0.0147,0.0098
0.0861,0.0098,0.0196
0.0861,0.0098,4.9804
0.0882,0.0098,4.9804
0.0892,4.9853,0.0049
0.0892,0.0147,0.0098
0.0892,0.0098,0.0196
0.0902,0.0098,4.9804
0.0902,0.0098,4.9804
0.0902,4.9804,0.0049
0.0923,0.0244,0.0098
0.0933,0.0098,0.0196
0.0933,0.0098,4.9804
0.0933,0.0098,4.9804
0.0943,4.9804,0.0049
0.0943,4.9658,0.0049
0.0943,0.0098,0.0196
0.0943,0.0098,4.9804
0.0958,0.0098,4.9756
0.0958,4.9853,0.0049
0.0958,4.9756,0.0049
0.0958,0.0098,0.0196
0.0968,0.0098,4.9804
0.0968,0.0098,4.9804
0.0968,4.9804,0.0049
0.0968,4.9756,0.0049
0.0968,0.0098,0.0147
0.0978,0.0147,0.0196
0.0998,0.0098,4.9804
0.1008,4.9853,0.0049
0.1008,4.9804,0.0049
0.1008,0.0098,0.0147
0.1018,0.0098,0.0196
0.1038,0.0098,4.9804
0.1038,0.0098,0.0098
0.1048,4.9804,0.0049
0.1048,0.0147,0.0147
0.1048,0.0098,0.0244
0.1048,0.0098,4.9804
0.1048,0.0098,4.9804
0.1063,4.9804,0.0049
0.1063,0.0098,0.0098
0.1063,0.0098,0.0244
0.1063,0.0098,4.9804
0.1073,0.0098,4.9804
0.1073,4.9804,0.0049
0.1083,0.0147,0.0098
0.1088,0.0098,0.0244
0.1088,0.0098,4.9804
0.1088,0.0098,4.9804
0.11,4.9853,0.0049
0.11,0.0147,0.0098
0.11,0.0098,0.0244
0.11,0.0098,4.9804
0.1113,0.0098,4.9804
0.1113,4.9804,0.0049
0.1113,4.6725,0.0098
0.1113,0.0098,0.0244
0.1113,0.0147,4.9804
0.1123,0.0098,4.9804
0.1123,4.9804,0.0049
0.1123,4.9707,0.0049
0.1123,0.0098,0.0196
0.1123,0.0098,4.9804
0.1148,0.0098,4.9804
0.1148,4.9804,0.0049
0.1148,4.9756,0.0049
0.1163,0.0098,0.0196
0.1173,0.0147,0.0244
0.1183,0.0098,4.9804
0.1183,4.9853,0.0049
0.1183,4.9804,0.0049
0.1194,0.0098,0.0196
0.1204,0.0147,0.0147
0.1204,0.0098,4.9804
0.1204,0.0147,0.0049
0.1217,4.9853,0.0049
0.1217,0.0098,0.0147
0.1217,0.0147,0.0147
0.1217,0.0098,4.9804
0.1227,0.0098,4.9804
0.1247,4.9853,0.0049
0.1247,0.0147,0.0098
0.1258,0.0098,0.0147
0.1258,0.0098,4.9756
0.1258,0.0098,4.9804
0.1258,4.9804,0.0049
0.1268,0.0293,0.0098
0.1268,0.0098,0.0147
0.1268,0.0098,4.9804
0.1268,0.0098,4.9804
0.1268,4.9853,0.0049
0.1278,4.9707,0.0049
0.1278,0.0147,0.0147
0.1278,0.0098,4.9804
0.1278,0.0098,4.9804
0.1288,4.9804,0.0049
0.1288,4.9756,0.0049
0.1288,0.0147,0.0098
0.1288,0.0098,4.9804
0.1299,0.0098,4.9804
0.1299,4.9853,0.0049
0.1309,4.9804,0.0049
0.1309,0.0147,0.0098
0.1319,0.0098,4.9804
0.1349,0.0098,4.9804
0.1349,4.9804,0.0049
0.1349,4.9853,0.0049
0.1361,0.0147,0.0098
0.1361,4.956,0.0147
0.1361,0.0098,4.9804
0.1361,4.9804,0.0049
0.1373,4.9853,0.0049
0.1373,0.0196,0.0098
0.1373,4.9658,0.0098
0.1373,0.0098,4.9804
0.1385,0.0098,0.0049
0.1397,4.9804,0.0049
0.1407,0.0244,0.0098
0.1407,0.0293,0.0098
0.1407,0.0098,4.9804
0.142,0.0098,3.8954
0.142,4.9804,0.0049
0.142,0.0293,0.0098
0.142,0.0196,0.0098
0.1431,0.0098,4.9804
0.1431,0.0098,4.9804
0.1431,4.9853,0.0049
0.1431,4.9707,0.0098
0.1431,0.0196,0.0098
0.1442,0.0098,4.9756
0.1442,0.0098,4.9804
0.1442,4.9804,0.0049
0.1442,4.9804,0.0098
0.1442,0.0196,0.0098
0.1454,0.0098,4.9804
0.1454,0.0098,4.9804
0.1454,4.9853,0.0049
0.1454,4.9804,0.0049
0.1464,0.0244,0.0098
0.1464,0.0,4.9804
0.1474,0.0098,4.9804
0.1485,4.9804,0.0049
0.1514,4.9853,0.0049
0.1514,0.0293,0.0098
0.1528,0.0098,4.9804
0.1528,0.0098,4.9804
0.1528,4.9804,0.0049
0.1528,4.9853,0.0049
0.1539,4.9609,0.0098
0.1539,0.0196,0.0196
0.1549,0.0098,4.9804
0.1559,4.9853,0.0049
0.1559,4.9804,0.0049
0.1569,4.9707,0.0098
0.1569,4.9804,0.0049
0.1569,0.0049,4.9804
0.1569,4.9804,0.0049
0.1569,4.9804,0.0049
0.1579,4.9609,0.0049
0.1599,4.9756,0.0098
0.1599,0.0098,4.9804
0.1609,0.0098,0.0049
0.1609,4.9853,0.0098
0.1609,4.9658,0.0098
0.1609,4.9756,0.0098
0.1619,0.0098,4.9804
0.1619,0.0098,4.9804
0.1619,4.9804,0.0049
0.1619,4.9707,0.0049
0.1629,0.0244,0.0098
0.1629,0.0098,4.9804
0.1629,0.0098,4.9804
0.1629,4.9853,0.0049
0.1639,4.9756,0.0049
0.1709,0.0244,0.0098
0.1719,0.0098,4.9804
0.1769,0.0098,4.9804
0.1769,4.9804,0.0049
0.1779,4.9804,0.0049
0.1789,0.0196,0.0098
0.1799,0.0098,4.9804
0.1889,0.0098,4.9804
0.1929,4.9804,0.0049
0.1939,4.9804,0.0049
0.1949,0.0244,0.0098
0.1959,0.0098,4.9756
0.1959,0.0098,4.9804
0.1969,4.9804,0.0049
0.2049,4.9853,0.0049
0.2059,0.0196,0.0098
0.2085,0.0098,4.9902
0.2085,0.0098,4.9804
0.2095,4.9804,0.0049
0.2095,4.9853,0.0049
0.2095,0.0196,0.0049
0.2105,3.4946,0.0147
0.2105,0.0098,4.9756
0.2105,4.9853,0.0049
0.2105,4.9804,0.0049
0.2115,0.0293,0.0098
0.2115,4.9756,0.0098
0.2115,0.0098,4.9804
0.2125,0.0049,0.0196
0.2125,4.9853,0.0049
0.2135,4.956,0.0098
0.2135,0.0293,0.0098
0.2145,0.0098,4.9804
0.2175,0.0098,4.9804
0.2205,4.9853,0.0049
0.2205,4.9707,0.0
0.2205,0.0244,0.0098
0.2215,0.0098,4.9804
0.2215,0.0098,4.9804
0.2215,4.9853,0.0098
0.2215,4.9756,0.0049
0.2225,0.0196,0.0147
0.2225,0.0098,4.9804
0.2225,0.0098,4.9804
0.2235,4.9853,0.0049
0.2235,4.9804,0.0049
0.2595,0.0293,0.0098
0.2615,0.0098,4.9804
0.2625,0.0098,4.9804
0.2625,4.9853,0.0049
0.2638,4.9804,0.0049
0.2638,0.0244,0.0098
0.2638,0.0098,4.9804
0.2648,0.0098,4.9756
0.2648,4.9804,0.0049
0.2648,4.9853,0.0049
0.2648,4.9609,0.0098
0.2658,0.0098,4.9707
0.2658,0.0049,4.9804
0.2658,4.9853,0.0049
0.2668,4.9804,0.0049
0.2668,4.9707,0.0049
0.2668,4.9804,0.0049
0.2678,0.0098,4.9804
0.2678,4.9804,0.0049
0.2678,4.9853,0.0049
0.2768,4.9756,0.0049
0.2778,4.9804,0.0049
0.2788,0.0098,4.9707
0.2788,0.0098,0.0049
0.2808,4.9853,0.0049
0.2818,4.9853,0.0098
0.2828,4.9804,0.0049
0.2828,0.0098,4.9804
0.2828,0.0098,0.0196
0.2828,4.9853,0.0049
0.2841,4.9804,0.0049
0.2841,4.9804,0.0049
0.2841,0.0098,4.9804
0.2841,0.0098,4.9804
0.2854,4.9804,0.0049
0.2874,4.9853,0.0049
0.2887,4.9804,0.0049
0.2887,0.0098,4.9804
0.2897,0.0098,4.9756
0.2897,4.9756,0.0049
0.2909,4.9804,0.0049
0.2909,4.9853,0.0049
0.2922,0.0098,4.9804
0.2922,0.0098,4.9804
0.2932,4.9804,0.0049
0.2932,4.9804,0.0049
0.2932,4.9804,0.0049
0.2932,0.0098,4.9804
0.2965,0.0098,4.9804
0.2978,4.9804,0.0049
0.2978,4.9804,0.0049
0.2978,4.9853,0.0049
0.2978,0.0098,4.9658
0.2992,0.0049,4.9804
0.2992,4.9853,0.0049
0.3003,4.9804,0.0049
0.3013,4.9804,0.0049
0.3023,4.9853,0.0049
0.3023,0.0098,4.9804
0.3033,4.9804,0.0049
0.3033,4.9804,0.0049
0.3033,4.9853,0.0049
0.3033,4.9804,0.0049
0.3043,0.0098,4.9804
0.3054,4.9853,0.0049
0.3054,4.9853,0.0049
0.3064,4.9804,0.0049
0.3064,4.9853,0.0049
0.3064,0.0098,4.9804
0.3064,0.0098,0.0049
0.3076,4.9853,0.0049
0.3097,4.9804,0.0049
0.3097,4.9853,0.0049
0.3097,0.0098,4.9804
0.3097,0.0098,4.9804
0.3109,4.9804,0.0098
0.3109,4.9804,0.0049
0.3109,4.9853,0.0049
0.3119,0.0098,4.9804
0.3119,0.0098,4.9756
0.3119,4.9853,0.0049
0.3129,4.9804,0.0049
0.3129,4.9804,0.0049
0.3129,0.0098,4.9804
0.3129,0.0098,4.9804
0.3141,4.9804,0.0049
0.3161,4.9804,0.0049
0.3171,4.9804,0.0049
0.3183,0.0098,4.9804
0.3183,0.0098,4.9804
0.3194,4.9853,0.0049
0.3205,4.9853,0.0049
0.3235,4.9804,0.0049
0.3245,0.0098,4.9756
0.3255,0.0098,4.9804
0.3255,4.9804,0.0049
0.3266,4.9853,0.0049
0.3266,4.9804,0.0049
0.3266,4.9707,0.0098
0.3276,0.0098,4.9756
0.3276,4.9853,0.0049
0.3276,4.9804,0.0049
0.3287,4.9804,0.0049
0.3287,4.9804,0.0049
0.3287,0.0098,4.9804
0.3297,4.9804,0.0049
0.3297,4.9804,0.0049
0.3297,4.9804,0.0049
0.3308,4.9804,0.0049
0.3308,0.0098,4.9804
0.3308,0.0098,0.0049
0.3308,4.9853,0.0049
0.3308,4.9804,0.0049
0.3343,4.9804,0.0049
0.3353,0.0098,4.9804
0.3367,0.0,0.0196
0.3367,4.9853,0.0049
0.3377,4.9804,0.0049
0.3377,4.9853,0.0049
0.3377,0.0098,4.9804
0.3389,0.0098,4.9756
0.3389,4.9804,0.0049
0.3389,4.9804,0.0049
0.3389,4.9804,0.0098
0.3403,0.0098,4.9804
0.3403,0.0049,4.9756
0.3413,4.9853,0.0049
0.3413,4.9804,0.0049
0.3423,4.9804,0.0049
0.3423,0.0098,4.9804
0.3433,0.0098,4.9804
0.3433,4.9853,0.0049
0.3433,4.9804,0.0098
0.3443,4.9804,0.0049
0.3443,0.0098,4.9804
0.3443,0.0098,4.9804
0.3443,4.9853,0.0049
0.3443,4.9853,0.0098
0.3458,4.9804,0.0049
0.3458,0.0147,0.2933
0.3458,0.0098,4.9804
0.3468,4.9804,0.0049
0.3468,4.9804,0.0049
0.3468,4.9804,0.0098
0.3491,4.9804,0.0342
0.3491,0.0098,4.9804
0.3502,4.9804,0.0049
0.3512,4.9853,0.0049
0.3522,4.9804,0.0049
0.3522,4.9804,0.0049
0.3533,0.0098,4.9804
0.3533,0.0098,0.0049
0.3544,4.9804,0.0049
0.3544,4.9853,0.0049
0.3554,4.9853,0.0049
0.3554,0.0049,4.9756
0.3554,0.0098,0.0098
0.3567,4.9804,0.0049
0.3597,4.9804,0.0049
0.3611,4.9804,0.0049
0.3611,0.0098,4.9804
0.3611,0.0098,4.9804
0.3611,4.9853,0.0049
0.3611,4.9804,0.0049
0.3624,4.9804,0.0098
0.3624,0.0098,4.9804
0.3634,0.0098,4.9804
0.3634,4.9853,0.0049
0.3634,4.9804,0.0049
0.3634,4.9804,0.0098
0.3655,0.0098,4.9804
0.3675,0.0098,4.9804
0.3685,4.9756,0.0049
0.3695,4.9804,0.0049
0.3695,4.9804,0.0098
0.3695,0.0098,4.9756
0.3715,0.0098,4.9756
0.3725,4.9804,0.0098
0.3725,4.9853,0.0049
0.3735,4.9756,0.0098
0.3735,0.0098,4.9658
0.3735,0.0098,4.9804
0.3747,4.9853,0.0049
0.3747,4.9853,0.0049
0.3757,4.9804,0.0098
0.3757,4.9804,0.0098
0.3757,0.0098,4.9804
0.3757,4.9853,0.0049
0.377,4.9804,0.0049
0.377,4.9804,0.0049
0.377,4.9853,0.0147
0.377,0.0098,4.9804
0.377,4.9853,0.0098
0.3783,4.9804,0.0049
0.3783,4.9804,0.0049
0.3783,4.9804,0.0049
0.3783,0.0098,4.9804
0.3793,0.0098,0.0049
0.3793,4.9804,0.0049
0.3793,4.9853,0.0049
0.3793,4.9853,0.0049
0.3793,0.0098,4.9756
0.3806,0.0098,4.9707
0.3816,4.9853,0.0049
0.3826,4.9804,0.0049
0.3836,4.9756,0.0098
0.3846,0.0098,4.9804
0.3846,0.0098,4.9804
0.3858,4.9804,0.0049
0.3858,4.9804,0.0049
0.3868,4.9804,0.0098
0.3868,0.0098,4.9804
0.3868,0.0098,4.9804
0.3868,4.9853,0.0049
0.3878,4.9853,0.0049
0.3878,4.9756,0.0098
0.3889,0.0098,4.9804
0.3899,0.0098,4.9804
0.3899,4.9804,0.0049
0.3909,4.9804,0.0049
0.3909,4.9756,0.0049
0.3909,0.0098,4.9804
0.3919,0.0098,4.9804
0.3919,4.9853,0.0049
0.3919,4.9804,0.0049
0.3931,4.9804,0.0049
0.3941,4.9756,0.0098
0.3941,0.0098,4.9804
0.3941,4.9804,0.0049
0.3951,4.9804,0.0049
0.3951,4.9804,0.0049
0.3951,4.9853,0.0049
0.3951,0.0098,4.9804
0.3951,4.9804,0.0049
0.3961,4.9804,0.0049
0.3961,4.9804,0.0049
0.3981,4.9853,0.0098
0.4022,0.0098,4.9804
0.4064,0.0098,0.0049
0.4106,4.9804,0.0049
0.4144,4.9804,0.0049
0.4174,4.9804,0.0049
0.422,0.0098,4.9804
0.4251,0.0098,0.0049
0.4302,4.9804,0.0049
0.4336,4.9804,0.0049
0.4376,4.9853,0.0049
0.4416,4.9804,0.0049
0.445,0.0098,0.0098
0.449,4.9804,0.0049
0.453,4.9853,0.0049
0.457,4.9853,0.0049
0.461,4.9853,0.0049
0.465,0.0098,0.0098
0.469,4.9804,0.0049
0.473,4.9756,0.0049
0.477,4.9853,0.0049
0.48,4.9853,0.0049
0.485,0.0098,0.0098
0.488,0.0098,0.0098
0.492,4.9804,0.0049
0.496,4.9853,0.0049
0.5,4.9853,0.0049
0.504,0.0098,0.0098
0.508,0.0098,0.0049
0.5116,4.9804,0.0049
0.5156,4.9804,0.0049
0.5196,4.9853,0.0049
0.5236,3.3382,0.0049
0.5276,0.0049,0.0049
0.5316,4.9853,0.0049
0.5356,4.9804,0.0049
0.539,4.9804,0.0049
0.5437,4.9853,0.0049
0.5467,0.0098,0.0049
0.5507,4.9804,0.0049
0.5547,4.9804,0.0
0.5587,4.9804,0.0098
0.5628,4.9804,0.0049
0.5659,0.0098,0.0049
0.5705,4.9804,0.0049
0.5747,4.9804,0.0049
0.5778,4.9853,0.0049
0.5822,4.9804,0.0049
0.586,0.0098,0.0098
0.5898,4.9804,0.0049
0.5941,4.9853,0.0049
0.5976,4.9853,0.0049
0.6016,4.9853,0.0049
0.6056,0.0098,0.0049
0.609,4.9853,0.0049
0.6139,4.9756,0.0049
0.6169,4.9804,0.0049
0.6211,4.9853,0.0049
0.6249,0.0098,0.0049
0.6291,4.9804,0.0049
0.6331,4.9853,0.0049
0.6371,4.9804,0.0049
0.6402,4.9804,0.0049
0.6448,0.0098,0.0049
0.6489,4.9853,0.0049
0.6523,4.9853,0.0049
0.6567,4.9804,0.0049
0.6597,4.9853,0.0049
0.6642,0.0098,0.0049
0.6685,4.9804,0.0049
0.6719,4.9804,0.0049
0.6762,4.9853,0.0098
0.6802,4.9804,0.0049
0.6843,4.9707,0.0049
0.6868,0.0098,0.0049
0.6915,4.9804,0.0049
0.6955,4.9853,0.0049
0.6989,4.9853,0.0098
0.7034,4.9853,0.0049
0.7074,0.0098,0.0049
0.7112,4.9853,0.0049
0.7148,4.9804,0.0049
0.7189,4.9853,0.0098
0.7229,4.9853,0.0049
0.727,0.0098,0.0049
0.7304,4.9804,0.0049
0.7347,4.9853,0.0049
0.7381,4.9804,0.0049
0.7423,4.9804,0.0049
0.7463,0.0098,0.0049
0.7497,4.9804,0.0049
0.7537,4.9804,0.0049
0.758,4.9853,0.0049
0.7613,4.9853,0.0049
0.7657,0.0098,0.0049
0.7691,4.9804,0.0049
0.7739,4.9804,0.0049
0.7773,4.9853,0.0049
0.7815,4.9804,0.0049
0.7855,0.0,0.0098
0.7887,4.9804,0.0049
0.793,4.9853,0.0049
0.797,4.9853,0.0049
0.8011,4.9853,0.0049
0.8052,0.0098,0.0049
0.809,4.9804,0.0049
0.8131,4.9853,0.0049
0.8161,4.9853,0.0049
0.8205,4.9804,0.0049
0.824,0.0098,0.0049
0.8276,4.9804,0.0049
0.8319,4.9804,0.0049
0.8363,4.9853,0.0049
0.8399,4.9853,0.0049
0.844,0.0196,0.0098
0.848,0.0342,0.0049
0.8511,4.9853,0.0098
0.8556,4.9853,0.0049
0.8596,4.9804,0.0049
0.8631,4.9804,0.0049
0.8667,2.1994,0.0049
0.8712,4.9804,0.0049
0.8748,4.9804,0.0049
0.8791,4.9804,0.0049
0.8834,4.9853,0.0049
0.8867,0.0489,0.0049
0.8909,4.9853,0.0049
0.8952,4.9804,0.0049
0.8986,4.9853,0.0
0.9018,4.9804,0.0049
0.9066,0.0147,0.0049
0.9105,4.9804,0.0049
0.9136,4.9804,0.0049
0.9177,4.9804,0.0049
0.9218,4.9853,0.0049
0.9252,0.0098,0.0049
0.9297,4.9853,0.0049
0.9335,4.9804,0.0049
0.9375,4.9853,0.0049
